line_id,corporation,name,stops_total,stops_inside,stops_outside,stops_unknown,eligible,reason
2654,西鉄バス,西鉄バス・１・普通・橋本駅－野方－橋本－新室見・姪浜駅南口行,26,26,0,0,yes,ok
266,西鉄バス,西鉄バス・２０１・普通・六本松－国体道路・天神・博多駅行,13,13,0,0,yes,ok
2666,西鉄バス,西鉄バス・２３・普通・三萩野－小倉駅ＢＣ・砂津行,38,0,38,0,no,has_outside_stops
2667,西鉄バス,西鉄バス・２６・普通・歯大前－三萩野－小倉駅ＢＣ・砂津行,10,0,10,0,no,has_outside_stops
2674,西鉄バス,西鉄バス・１０・普通・吉田団地・恒見営行,36,0,36,0,no,has_outside_stops
2675,西鉄バス,西鉄バス・１４・普通・下吉田団地第一行,4,0,4,0,no,has_outside_stops
2676,西鉄バス,西鉄バス・１５・普通・沼団地－沼小前・四季彩の丘第５行,15,0,15,0,no,has_outside_stops
2678,西鉄バス,西鉄バス・１１０・普通・中吉田－吉田団地・恒見営行,32,0,32,0,no,has_outside_stops
268,西鉄バス,西鉄バス・２０１・普通・四箇田団地行,15,15,0,0,yes,ok
2683,西鉄バス,西鉄バス・６７・普通・筑鉄中間駅行,28,0,28,0,no,has_outside_stops
2697,西鉄バス,西鉄バス・５４・普通・スピナラソリエ高見店行,11,0,11,0,no,has_outside_stops
27,西鉄バス,西鉄バス・４０・普通・弥生小前・板付七行,14,14,0,0,yes,ok
2704,西鉄バス,西鉄バス・７２・普通・門司駅－原町－魚町・青葉車庫行,35,0,35,0,no,has_outside_stops
2705,西鉄バス,西鉄バス・６・普通・北方－徳力団地南・中谷行,46,0,46,0,no,has_outside_stops
2726,西鉄バス,西鉄バス・１５１・普通・野間－皿山自動車免許試験場・桧原営行,15,15,0,0,yes,ok
2727,西鉄バス,西鉄バス・１５２・普通・松本池・桧原営行,4,4,0,0,yes,ok
2729,西鉄バス,西鉄バス・Ｗ１・普通・都高－ペイペイドーム・福岡タワー行,7,7,0,0,yes,ok
