ekispert_station_code,name,lat,lon
675703,池の上／西鉄バス,33.553275,130.450191
676326,池野支所前／西鉄バス,33.846683,130.544336
677070,池の下／西鉄バス,33.513866,130.446133
674341,池の谷／西鉄バス,33.302644,130.54608
674320,池の本／西鉄バス,33.217125,130.493152
675603,井河／西鉄バス,33.515663,130.417219
675181,伊崎／西鉄バス,33.593958,130.37275
676880,医師会館・ソフトリサーチパーク前／西鉄バス,33.589425,130.358563
675039,石崎(久留米市)／西鉄バス,33.325985,130.568902
673257,石田／西鉄バス,33.836844,130.891055
676664,石堂大橋／西鉄バス,33.599527,130.412228
676094,石の橋／西鉄バス,33.412114,130.673533
673660,石原鉄工団地入口／西鉄バス,33.787866,130.864391
673659,石原町／西鉄バス,33.784441,130.864852
676076,石櫃／西鉄バス,33.460182,130.582611
677692,石堀場／西鉄バス,33.805511,130.674405
677324,石丸(飯塚市)／西鉄バス,33.678439,130.719352
675447,石丸三丁目／西鉄バス,33.56781,130.315791
677857,石丸新町(都市高速下)／西鉄バス,33.574944,130.324279
677858,石丸新町(新室見)／西鉄バス,33.573711,130.325502
677323,石丸団地／西鉄バス,33.673847,130.716799
677838,石丸二丁目(公民館前)／西鉄バス,33.568805,130.322269
677839,石丸二丁目(都市高下)／西鉄バス,33.567894,130.319116
677669,石山谷／西鉄バス,33.764819,130.704649
678133,井尻駅北／西鉄バス,33.551372,130.444722
675707,井尻駅西口／西鉄バス,33.54828,130.445896
675706,井尻駅東口／西鉄バス,33.549327,130.446471
675658,井尻六ツ角／西鉄バス,33.545388,130.444302
675649,泉／西鉄バス,33.52421,130.441133
674100,泉ケ浦一丁目／西鉄バス,33.842543,130.724566
674101,泉ケ浦三丁目／西鉄バス,33.842908,130.722619
676994,泉ケ丘(太宰府市)／西鉄バス,33.49583,130.538435
677430,伊田駅／西鉄バス,33.639555,130.820146
677427,伊田大橋／西鉄バス,33.643602,130.817655
675666,板付／西鉄バス,33.56658,130.45375
675708,板付新橋／西鉄バス,33.553736,130.454183
675193,板付団地第一／西鉄バス,33.5633,130.450252
675194,板付団地第二／西鉄バス,33.561786,130.451685
675696,板付中央公園前／西鉄バス,33.562853,130.449741
675670,板付中学校前／西鉄バス,33.552241,130.464178
675204,板付七丁目／西鉄バス,33.55476,130.457755
675667,板付二丁目／西鉄バス,33.563611,130.456702
675202,板付農協前／西鉄バス,33.559769,130.453577
675203,板付四丁目／西鉄バス,33.557338,130.455655
675669,板付六丁目／西鉄バス,33.556174,130.462077
677429,伊田本町口／西鉄バス,33.640983,130.817127
673743,一枝／西鉄バス,33.883466,130.845097
673742,一枝入口／西鉄バス,33.883758,130.843194
673803,一枝北口／西鉄バス,33.885955,130.844169
673804,一枝小学校前／西鉄バス,33.881521,130.841972
674288,一条／西鉄バス,33.24093,130.510625
674823,檪野／西鉄バス,33.008416,130.496744
675597,市の瀬／西鉄バス,33.454847,130.430155
677067,一の谷一丁目／西鉄バス,33.520294,130.452799
677066,一の谷二丁目／西鉄バス,33.516683,130.454678
675817,一番田／西鉄バス,33.58961,130.514719
674766,一部橋／西鉄バス,33.009497,130.453385
676096,一里塚／西鉄バス,33.405094,130.690274
677387,五日町／西鉄バス,33.546375,130.743844
674383,一丁田／西鉄バス,33.298056,130.528611
675333,一本木／西鉄バス,33.572413,130.405005
677437,一本松／西鉄バス,33.653161,130.837891
675384,井手／西鉄バス,33.533019,130.390061
677382,井手浦／西鉄バス,33.655563,130.673377
677635,出口／西鉄バス,33.753841,130.763919
676980,井手の古賀／西鉄バス,33.466122,130.519993
673856,到津三叉路／西鉄バス,33.870202,130.853138
673591,到津の森公園前／西鉄バス,33.868419,130.849847
676219,糸ケ浦公園前／西鉄バス,33.712133,130.469258
677435,糸飛口／西鉄バス,33.651013,130.829844
675853,稲城／西鉄バス,33.596719,130.451302
677215,稲築学校／西鉄バス,33.59943,130.720403
677222,稲築交番／西鉄バス,33.602333,130.730777
677395,稲築才田／西鉄バス,33.576702,130.731375
676251,稲元／西鉄バス,33.805405,130.558038
675096,稲荷山団地入口／西鉄バス,33.07151,130.488396
674064,犬王／西鉄バス,33.821963,130.723844
675862,井上／西鉄バス,33.55908,130.508939
673830,猪倉(北九州市)／西鉄バス,33.848761,130.827708
677689,猪倉(鞍手町)／西鉄バス,33.797974,130.685766
676630,亥ノ坂／西鉄バス,33.701261,130.453563
673926,いのちのたび博物館／西鉄バス,33.866922,130.81195
675878,井野本村／西鉄バス,33.56593,130.499797
677570,伊原／西鉄バス,33.575771,130.859333
673744,井堀(北九州市)／西鉄バス,33.882727,130.8494
673745,井堀四角／西鉄バス,33.882486,130.850988
675513,今泉一丁目／西鉄バス,33.583074,130.399803
675166,今川西町公園前／西鉄バス,33.583505,130.369842
676849,今川橋／西鉄バス,33.583091,130.36613
676571,今在家／西鉄バス,33.716802,130.480349
675685,今里／西鉄バス,33.549961,130.480683
675604,今立／西鉄バス,33.513666,130.41911
673738,今町小学校前／西鉄バス,33.851083,130.875347
673735,今町団地／西鉄バス,33.857594,130.875063
673736,今町二丁目／西鉄バス,33.855363,130.876158
675584,今光／西鉄バス,33.517558,130.434324
674312,今村／西鉄バス,33.25268,130.496605
678196,今村天主堂／西鉄バス,33.368886,130.604561
675805,今屋敷／西鉄バス,33.563952,130.544222
676366,井牟田／西鉄バス,33.842091,130.486216
676876,医療センター構内／西鉄バス,33.589855,130.363508
673815,岩崎石材店前／西鉄バス,33.884341,130.825082
677217,岩崎橋／西鉄バス,33.591769,130.720602
674093,岩瀬西町／西鉄バス,33.830102,130.709213
674092,岩瀬東町／西鉄バス,33.828697,130.710677
675605,岩戸北小前／西鉄バス,33.512166,130.420505
673718,岩鼻／西鉄バス,33.835428,130.863971
673593,岩渕橋／西鉄バス,33.866117,130.845339
675095,岩本／西鉄バス,33.070072,130.490552
677665,植木／西鉄バス,33.767502,130.71276
675484,ウエストヒルズ北／西鉄バス,33.563219,130.300658
675485,ウエストヒルズ南／西鉄バス,33.561452,130.303238
674139,上の原(北九州市)／西鉄バス,33.830447,130.759172
675810,上の原(須恵町)／西鉄バス,33.571742,130.531861
673865,魚町／西鉄バス,33.881202,130.881752
674501,浮羽究真館高校前／西鉄バス,33.341841,130.735177
674504,うきは警察署入口／西鉄バス,33.3407,130.750419
674495,浮羽工業前／西鉄バス,33.341005,130.698216
674512,浮羽発着所／西鉄バス,33.330702,130.796377
674856,右京町／西鉄バス,33.01408,130.442255
673768,宇佐町／西鉄バス,33.871893,130.892347
677019,牛頸／西鉄バス,33.497739,130.473683
677020,牛頸二丁目／西鉄バス,33.499163,130.472708
677391,牛隈／西鉄バス,33.563077,130.732228
675551,後野／西鉄バス,33.50113,130.421663
677405,碓井交番／西鉄バス,33.562522,130.706519
677403,碓井支所／西鉄バス,33.560683,130.714197
677404,碓井農協／西鉄バス,33.561407,130.711297
674374,内野(久留米市)／西鉄バス,33.284716,130.550802
676760,内野(福岡市)／西鉄バス,33.498241,130.33775
678177,内野公民館前／西鉄バス,33.49418,130.342863
678176,内野二丁目／西鉄バス,33.496858,130.340419
675956,内橋／西鉄バス,33.615764,130.458366
675457,内浜ウエストコート東／西鉄バス,33.577769,130.325794
675456,内浜西区役所前／西鉄バス,33.579922,130.324678
674808,内畑／西鉄バス,33.062607,130.473813
677120,美しが丘／西鉄バス,33.443697,130.550041
677122,美しが丘北公民館前／西鉄バス,33.447452,130.551124
677121,美しが丘北三丁目／西鉄バス,33.446083,130.549933
677108,美しが丘南／西鉄バス,33.443927,130.543027
673244,宇土／西鉄バス,33.797821,130.970417
673317,産天神前／西鉄バス,33.813921,130.943275
674639,馬の丞／西鉄バス,33.215825,130.379244
675361,馬屋谷／西鉄バス,33.572805,130.387794
675742,宇美営業所／西鉄バス,33.561936,130.508855
675790,宇美公園前／西鉄バス,33.568694,130.512917
675775,宇美中学校前／西鉄バス,33.561113,130.513619
675793,宇美農協前／西鉄バス,33.567164,130.515638
675744,宇美八幡前／西鉄バス,33.566667,130.510258
675743,宇美町役場入口／西鉄バス,33.564497,130.511616
675596,埋金／西鉄バス,33.459944,130.430643
673345,埋立入口／西鉄バス,33.953724,130.986136
675868,浦田(福岡市)／西鉄バス,33.573619,130.478663
677313,浦田(飯塚市)／西鉄バス,33.654902,130.701072
674240,浦田団地／西鉄バス,33.805508,130.735855
677089,浦の下／西鉄バス,33.489299,130.592766
675329,浦の谷／西鉄バス,33.538257,130.420164
675601,浦の原(那珂川市)／西鉄バス,33.51818,130.415472
673308,潤崎団地／西鉄バス,33.818311,130.93988
677218,漆生／西鉄バス,33.586763,130.721794
677396,漆生南部／西鉄バス,33.581105,130.727716
677398,漆生本村／西鉄バス,33.581777,130.722746
677292,潤野下区／西鉄バス,33.629833,130.662219
677300,潤野橋／西鉄バス,33.62783,130.663038
673625,営団入口／西鉄バス,33.877374,130.898503
674050,永犬丸／西鉄バス,33.834331,130.736799
674095,永犬丸西三丁目／西鉄バス,33.832783,130.732558
674096,永犬丸西小学校入口／西鉄バス,33.834532,130.730391
674224,永犬丸東町一丁目／西鉄バス,33.83401,130.748522
674249,永犬丸四丁目／西鉄バス,33.840483,130.734058
677642,永満寺／西鉄バス,33.732196,130.764774
677740,永満寺団地／西鉄バス,33.729071,130.76205
675144,駅東三丁目／西鉄バス,33.582203,130.427682
675170,駅東二丁目／西鉄バス,33.58303,130.426633
675161,駅前一丁目／西鉄バス,33.589113,130.418996
675150,駅前三丁目／西鉄バス,33.586944,130.415827
676809,駅前四丁目／西鉄バス,33.583316,130.4196
675299,駅南三丁目／西鉄バス,33.579008,130.426653
675152,駅南二丁目／西鉄バス,33.579099,130.424242
675607,恵子／西鉄バス,33.510558,130.419564
674647,江島／西鉄バス,33.24536,130.413861
676111,恵蘇ノ宿／西鉄バス,33.363925,130.756238
677289,枝国三区／西鉄バス,33.631224,130.673358
677264,枝坂／西鉄バス,33.599477,130.736241
673928,枝光(北九州市)／西鉄バス,33.877402,130.815988
674603,枝光(柳川市)／西鉄バス,33.173197,130.400264
673932,枝光一丁目／西鉄バス,33.871802,130.816261
