line_id,station_code
1268,674795
1273,674795
1273,674796
1273,674797
1273,674798
1273,674799
1273,674800
1273,674866
1273,674867
1273,674868
1273,674869
1273,674870
1273,674871
1273,674872
1273,674873
1274,674746
1274,674747
1274,674748
1274,674749
1274,674750
1274,674751
1274,674752
1274,674756
1274,674757
1274,674758
1274,674759
1274,674795
1274,674796
1274,674797
1274,674798
1274,674813
1275,674795
1275,674796
1275,674797
1275,674798
1275,674799
1275,674800
1275,674866
1275,674867
1275,674868
1275,674873
1275,674874
1275,674875
1277,674792
1277,674793
1277,674795
1277,674796
1277,674797
1277,674798
1277,674799
1277,674800
1277,674866
1277,674867
1277,674868
1277,674869
1277,674870
1277,674871
1277,674872
1277,674873
1277,674874
1277,674875
1278,674795
1278,674796
1278,674797
1278,674798
1278,674799
1278,674800
1280,674746
1280,674747
1280,674748
1280,674749
1280,674750
1280,674751
1280,674752
1280,674753
1280,674754
1280,674755
1280,674756
1280,674757
1280,674758
1280,674759
1280,674793
1280,674795
1280,674796
1280,674797
1280,674798
1280,674813
1282,674746
1282,674747
1282,674795
1282,674796
1282,674797
1282,674798
1284,674792
1284,674793
1284,674795
1284,674857
1284,674862
1284,674863
1284,674864
1285,674792
1285,674793
1285,674795
1285,674856
1285,674857
1285,674862
1285,674863
1285,674864
1286,674761
1286,674794
1286,674795
1286,674796
1286,674797
1286,678190
1295,677574
1295,677622
1295,677623
1295,677624
1295,677625
1295,677626
1295,677627
1295,677630
1295,677633
1295,677712
1295,677713
1295,677745
1296,677574
1296,677622
1296,677623
1296,677625
1296,677626
1296,677628
1296,677629
1296,677631
1296,677632
1296,677634
1296,677635
1296,677636
1296,677637
1296,677638
1296,677639
1297,677574
1297,677622
1297,677625
1297,677626
1297,677628
1297,677629
1297,677631
1297,677632
1297,677634
1297,677635
1297,677636
1297,677637
1297,677638
1297,677639
1298,677574
1298,677622
1298,677716
1298,677717
1298,677718
1298,677719
1298,677720
1298,677721
1298,677722
1298,677723
1302,677574
1302,677622
1302,677718
1302,677722
1304,677574
1304,677575
1304,677576
1304,677577
1304,677616
1304,677617
1304,677618
1304,677642
1304,677730
1304,677731
1304,677732
1304,677733
1304,677734
1304,677735
1304,677736
1304,677737
1304,677738
1304,677739
1304,677740
1305,677087
1305,677088
1305,677089
1305,677090
1305,677091
1305,677092
1305,677093
1305,677094
1305,677095
1305,677827
1307,676941
1307,676973
1307,676986
1307,676987
1307,676988
1307,676989
1307,676990
1344,673571
1344,673572
1344,673573
1344,673578
1344,673658
1344,673659
1344,673660
1344,673661
1344,673662
1344,673663
1344,673664
1344,673679
1344,673681
1344,673682
1344,673683
1344,673686
1344,673687
1344,673688
1344,673689
1344,673690
1344,673691
1344,673692
1344,673693
1344,673694
1344,673695
1344,673696
1344,673697
1344,673698
1344,673699
1344,673700
1344,673701
1344,673702
1344,673703
1344,673704
1344,673705
1344,673706
1344,673707
1344,673708
1346,673566
1346,673568
1346,673571
1346,673572
1346,673573
1346,673574
1346,673575
1346,673576
1346,673577
1346,673578
1346,673679
1346,673681
1346,673682
1346,673683
1346,673686
1346,673687
1346,673688
1346,673689
1346,673690
1346,673691
1346,673692
1346,673693
1346,673694
1346,673695
1346,673696
1346,673697
1346,673698
1346,673699
1346,673700
1346,673701
1346,677814
1367,673376
1367,673377
1367,673379
1367,673473
1367,673475
1367,673476
1367,673484
1367,673485
1367,673486
1367,673487
1367,673488
1367,673489
1367,673490
1367,673560
1367,673561
1367,673562
1367,673566
1367,673568
1367,673569
1367,673570
1367,673579
1367,673580
1367,673581
1367,673582
1367,673583
1367,673584
1367,673605
1367,673606
1367,673609
1367,673610
1367,673639
1367,673640
1367,673641
1367,673642
1367,673643
1367,673644
1367,677758
1367,677812
1367,677816
1367,678112
1367,678160
1375,673583
1375,673584
1375,673607
1375,673608
1375,673647
1375,673763
1375,673765
1375,673786
1375,673787
1375,673798
1375,673799
1375,673800
1375,673865
1375,677809
1375,677870
1378,673333
1378,673334
1378,673335
1378,673336
1378,673337
1379,673241
1379,673242
1379,673333
1379,673334
1379,673335
1379,673336
1379,673337
1391,673566
1391,673568
1391,673569
1391,673570
1391,673595
1391,673596
1391,673597
1391,673776
1391,673777
1391,673780
1391,673781
1391,673782
1391,677809
1391,677814
1391,677816
1398,673566
1398,673568
1398,673569
1398,673570
1398,673579
1398,673580
1398,673581
1398,673582
1398,673583
1398,673585
1398,673586
1398,673740
1398,673741
1398,673742
1398,673743
1398,673744
1398,673745
1398,673746
1398,673747
1398,673748
1398,673749
1398,673750
1398,673751
1398,673870
1398,673872
1398,673875
1398,673913
1398,673936
1398,677809
1398,677814
1398,678160
1401,673986
1401,674128
1401,674129
1401,674131
1401,677574
1401,677623
1401,677724
1401,677725
1401,677726
1401,677727
1401,677728
1401,677729
1401,677753
1401,678013
1402,673985
1402,674128
1402,674129
1402,674131
1402,674141
1402,674142
1402,674145
1402,674146
