line_id,corporation,sample_name,sample_pairs_count,stop_count
1892,西鉄バス,西鉄バス・５・普通・戸畑区役所－中原－魚町－営団入口・湯川新町三行,3,10
1893,西鉄バス,西鉄バス・９３・普通・広寿山－営団入口－魚町－中原・ＪＲ戸畑駅行,14,42
1898,西鉄バス,西鉄バス・８２・普通・引野方面行,19,19
1907,西鉄バス,西鉄バス・４０・普通・馬場－引野口－黒崎－平野一・製鉄飛幡門行,14,49
1908,西鉄バス,西鉄バス・４０・普通・鞘ケ谷－浅生通－戸畑駅・製鉄飛幡門行,5,12
191,西鉄バス,西鉄バス・７・普通・姪浜駅南口行,10,20
1916,西鉄バス,西鉄バス・７５・普通・香月営行,53,51
1919,西鉄バス,西鉄バス・５０・普通・茶屋の原団地・香月営行,3,6
1921,西鉄バス,西鉄バス・７５・普通・国道東曲里町－ふれあい通り・西鉄黒崎ＢＣ行,9,37
1922,西鉄バス,西鉄バス・７５・普通・国道東曲里町－ふれあい通り・西鉄黒崎ＢＣ行,41,54
1930,西鉄バス,西鉄バス・９５・普通・社ノ木二－門司駅－門司港駅－山手・田野浦行,40,46
1936,西鉄バス,西鉄バス・８３・普通・社ノ木二－魚町竪町－井堀・ＪＲ戸畑駅行,45,50
1940,西鉄バス,西鉄バス・４７・普通・緑ケ丘中－門司駅－桜ケ丘・恒見営行,59,40
1956,西鉄バス,西鉄バス・４５・普通・江見－原の町－佐賀駅ＢＣ・佐賀第二合同庁舎行,3,3
196,西鉄バス,西鉄バス・２０３・普通・室住団地－原－六本松－国体道路・天神・博多駅行,23,24
1961,西鉄バス,西鉄バス・５０・普通・羽犬塚・船小屋行,46,41
1962,西鉄バス,西鉄バス・５０・普通・羽犬塚・筑後船小屋駅行,50,44
1963,西鉄バス,西鉄バス・３１・普通・福島・八女営行,27,25
1965,西鉄バス,西鉄バス・３１・普通・福島・八女営行,40,33
1967,西鉄バス,西鉄バス・２５・普通・善院行,23,24
1968,西鉄バス,西鉄バス・２５・普通・草野－善院－田主丸・上原行,36,35
1977,西鉄バス,西鉄バス・６７・普通・中鶴北部－岩瀬東町・筑鉄中間駅行,9,11
1979,西鉄バス,西鉄バス・６７・普通・ＪＲ中間駅－中鶴北部・香月営行,32,32
1980,西鉄バス,西鉄バス・６１・普通・筑鉄中間－弥生・香月営行,16,23
1983,西鉄バス,西鉄バス・１・普通・中原－大川橋－南佐賀・ＪＲ佐賀駅行,26,17
1984,西鉄バス,西鉄バス・１・普通・西鉄柳川駅行,4,14
200,西鉄バス,西鉄バス・５・普通・住吉・博多駅行,1,2
2000,西鉄バス,西鉄バス・３・普通・明治通－天神－西新・星の原団地行,16,22
2018,西鉄バス,西鉄バス・２１・普通・雁の巣ＲＣ行,18,33
202,西鉄バス,西鉄バス・２０２・普通・原－室見団地・原北中前行,2,27
2037,西鉄バス,西鉄バス・７４・普通・青洲会病院行,22,21
2048,西鉄バス,西鉄バス・外環・普通・横手小前－大橋一・西鉄大橋駅行,43,28
2050,西鉄バス,西鉄バス・３・普通・ネオポリス－くりえいと・赤間営行,7,7
2058,西鉄バス,西鉄バス・７・普通・太刀浦埠頭入口行,5,5
207,西鉄バス,西鉄バス・５０３・普通・室住団地－室見団地－愛宕ＲＰ・天神・博多駅行,23,24
2094,西鉄バス,西鉄バス・１４０・普通・福大病院－金山団地－美術館・天神行,18,22
2098,西鉄バス,西鉄バス・１５１・普通・野間四角－清水町－渡辺通一・天神行,3,16
2110,西鉄バス,西鉄バス・６０・普通・清水町－きよみ通－山王一・博多駅筑紫口行,3,14
2111,西鉄バス,西鉄バス・４８－１・普通・竹下駅西口－大橋・老司団地行,14,25
2112,西鉄バス,西鉄バス・４８・普通・大橋－竹下駅西口－駅４－博多駅・博多埠頭行,12,28
2152,西鉄バス,西鉄バス・１・普通・道の駅むなかた・神湊波止場行,2,3
2153,西鉄バス,西鉄バス・１・普通・道の駅むなかた－宗像大社・ＪＲ東郷駅行,1,2
2239,西鉄バス,西鉄バス・４・普通・千早駅－石堂大橋－昭和通－天神・福岡タワー行,30,28
2240,西鉄バス,西鉄バス・４・普通・名島駅－昭和通－石堂大橋・天神行,2,12
2254,西鉄バス,西鉄バス・４３・普通・福岡空港国内線南行,16,20
2257,西鉄バス,西鉄バス・６０・普通・大橋駅行,13,14
2258,西鉄バス,西鉄バス・６０・普通・大橋－片縄・那珂川営行,4,6
2259,西鉄バス,西鉄バス・２・普通・筵内－サンコスモ・ＪＲ古賀駅行,27,22
2260,西鉄バス,西鉄バス・６・普通・古賀駅東口－市役所－工業団地・グリーンパーク古賀行,27,34
2263,西鉄バス,西鉄バス・６・普通・ししぶ駅東口－古賀駅東口・舞の里行,21,33
2295,西鉄バス,西鉄バス・７０・普通・原町－門司駅－門司港レトロ－海岸・田野浦行,25,35
2304,西鉄バス,西鉄バス・２－９・普通・賀茂駅行,13,16
2306,西鉄バス,西鉄バス・２－９・普通・原・賀茂駅行,11,13
231,西鉄バス,西鉄バス・２・普通・四箇田団地行,19,22
2312,西鉄バス,西鉄バス・６・普通・北間－一ツ木団地・早津江行,36,28
2315,西鉄バス,西鉄バス・１２・普通・守恒駅－岩鼻－長行台・中谷行,19,37
232,西鉄バス,西鉄バス・２・普通・次郎丸・四箇田団地行,4,12
2322,西鉄バス,西鉄バス・２１・普通・三萩野－今町－蒲生－南方三－長行台・中谷行,8,23
2323,西鉄バス,西鉄バス・２１・普通・今町－北方－北九州市立大学前・恵里・守恒行,6,19
2324,西鉄バス,西鉄バス・２１・普通・三萩野－小倉駅ＢＣ・砂津行,14,20
2327,西鉄バス,西鉄バス・５・普通・弓田町・板付七行,14,11
234,西鉄バス,西鉄バス・３０６・普通・ペイペイドーム－都高－呉服町ランプ・博多駅行,1,7
2347,西鉄バス,西鉄バス・Ｗ１・普通・ペイペイドーム－福岡タワー・藤崎行,1,11
2352,西鉄バス,西鉄バス・７・普通・国体道路－六本松－昭代・姪浜駅南口行,3,22
2353,西鉄バス,西鉄バス・Ｋ・急行・福重ＲＰ－都高－渡辺通一・天神・博多駅行,17,20
2360,西鉄バス,西鉄バス・１３８・普通・弥生が丘営行,40,35
2364,西鉄バス,西鉄バス・３８・普通・長野・下曽根駅南口行,33,34
2365,西鉄バス,西鉄バス・３８－１・普通・弥生が丘営行,16,38
2369,西鉄バス,西鉄バス・３５・普通・農事Ｃ・舞ケ丘団地行,20,24
2376,西鉄バス,西鉄バス・３・普通・明治通・天神・博多駅行,3,10
2378,西鉄バス,西鉄バス・普通・柏原営行,4,6
2417,西鉄バス,西鉄バス・４・普通・老司団地－今立・那珂川営行,2,20
2418,西鉄バス,西鉄バス・普通・西鉄太宰府駅行,2,3
2423,西鉄バス,西鉄バス・６２・普通・片縄・那珂川営行,9,13
2424,西鉄バス,西鉄バス・６２・普通・片縄・大橋駅行,3,5
2425,西鉄バス,西鉄バス・６２・普通・大橋駅行,30,23
2426,西鉄バス,西鉄バス・６２－１・普通・博多南駅・ＣＨ那珂川行,2,8
2427,西鉄バス,西鉄バス・４９・普通・大橋駅行,31,18
2428,西鉄バス,西鉄バス・３・普通・片縄・大橋駅行,9,18
